"","X","seconds_since_start","balance_assist","roll_angle","roll_rate","roll_acc","steer_angle","steer_rate","desforce13","desforce24","force1_mean","force1_max","force1_min","force1_median","force2_mean","force2_max","force2_min","force2_median","force3_mean","force3_max","force3_min","force3_median","force4_mean","force4_max","force4_min","force4_median","angular_impulse","angular_impulse_controller","direction","fall","participant_id","start_with_on"
"1",-1.55825571488741,31.882,"0",0.716528440824446,0.849815165242601,-0.0659055920575093,-0.385643479516196,0.851369838997841,3,50,4.2044262295082,21.43,0,1.45,28.7260655737705,43.23,1.45,30.51,4.1744262295082,15.62,0,2.18,32.0509836065574,43.69,2.22,34.07,-1.8288893754792,5.42774940929915,"0",0,1,"0"
"2",-1.48853510124592,38.868,"0",0.427845743804842,-0.820562492223413,1.08914895149395,1.25296167803535,0.493711989054922,3,60,3.51548387096774,26.15,0,0,37.0154838709677,46.86,2.18,40.68,3.35677419354839,16.71,0,0,41.041935483871,55.54,4.44,45.17,-0.853006761833552,7.58605577937299,"0",0,1,"0"
"3",-1.41881448760442,45.519,"0",0.648373763598544,1.39770964848168,0.227229348850884,-0.296750278084859,0.368850997390885,3,60,4.94616666666667,29.06,0,0,35.023,46.13,13.44,35.78,5.752,23.61,0,0,39.6083333333333,50.36,5.18,42.21,-1.30939282349764,6.61438328128237,"0",1,1,"0"
"4",-1.34909387396293,78.878,"0",0.578703403605706,-0.0123272924249163,0.151255519069083,-0.332019093033918,0.0475296610932111,3,50,3.97068965517241,21.07,0,0.365,29.868275862069,42.14,1.45,32.875,3.97655172413793,15.98,0,0,31.7941379310345,45.17,0,35.18,-1.89644893441708,5.21390850879853,"0",0,1,"0"
"5",-1.27937326032143,85.378,"0",0.521487471382111,0.449787701189929,0.11147388835989,0.0936981434699859,0.0279656310205562,50,3,30.8940677966102,46.13,9.08,31.24,3.50966101694915,15.62,0,2.18,34.4645762711864,44.68,7.99,37.05,3.20033898305085,17.77,0,0.74,-1.62941442979401,6.03279063605389,"1",0,1,"0"
"6",-1.20965264667994,92.212,"0",1.1195547079623,-1.68699728717964,-0.113929526359904,1.81347005667906,0.597416305939756,60,3,36.9335483870968,49.76,3.63,39.59,3.39258064516129,22.88,0,0,40.4729032258065,61.03,2.91,43.41,2.9141935483871,17.77,0,0,-0.849597148297144,7.31608287317829,"1",0,1,"0"
"7",-1.13993203303844,97.148,"0",-0.0646123427044227,0.136978483815409,-0.523548145381094,-0.211330261805759,0.359057605860249,90,3,50.4911290322581,76.64,3.63,53.395,5.2608064516129,31.24,0,0,59.7301612903226,83.55,3.63,65.38,5.27903225806452,31.1,0,0,0.602365936864995,11.2354054982441,"1",1,1,"0"
"8",-1.07021141939695,131.27,"0",0.42937046670372,0.226161246869668,0.218115386667067,0.29161131036651,0.805032662894646,3,60,4.37872727272727,25.06,0,0.36,34.5081818181818,48.31,2.91,36.32,3.804,18.16,0,1.09,38.5094545454545,51.84,3.7,41.47,-1.48859923196517,6.30777859020072,"0",0,1,"0"
"9",-1.00049080575545,137.15,"0",-0.00506377439648097,-0.726481034673127,0.106146994702728,1.03280390400944,0.104255187092649,3,80,4.4678,29.06,0,0,47.4322,61.75,1.82,51.4,3.1674,23.25,0,0,53.202,69.61,5.18,57.76,-0.607171449865659,8.10762528367161,"0",0,1,"0"
"10",-0.930770192113956,148.41,"0",-0.976050993442926,1.00522718953777,0.190817789481303,-1.19906382347327,-2.02471462761182,3,120,8.14035714285714,37.41,0,3.27,62.5626785714286,91.17,5.81,64.475,8.32857142857143,37.05,0,0,72.7207142857143,112.57,2.22,78.13,1.14882136740197,12.7743170364687,"0",1,1,"0"
